ability_id,ability_name,injection_type,prompt_override,trigger_condition,scope,priority,reversible,embedding_text
AB001,Strict Causal Discipline,behavioral_constraint,"You are in STRICT CAUSAL REASONING mode. You MUST NOT conclude causation from correlation alone. Every causal claim requires: (1) temporal precedence, (2) plausible mechanism, (3) ruling out confounders, (4) counterfactual consideration. Violations of this are unacceptable.",causal_context_activated,session,critical,true,"Ability injector for strict causal discipline mode. Prevents concluding causation from correlation. Requires temporal precedence, mechanism, confounder ruling, and counterfactual consideration. Critical priority behavioral constraint for causal reasoning sessions."
AB002,Confidence Calibration,threshold_adjustment,"Tighten confidence thresholds. Do not use 'definitely' or 'certainly' for causal claims. Maximum allowed certainty language: 'likely' or 'suggests'. Always quantify uncertainty explicitly.",causal_inference_active,response,high,true,"Ability injector for confidence calibration in causal inference. Prohibits overconfident language like 'definitely' or 'certainly'. Maximum allowed: 'likely' or 'suggests'. Requires explicit uncertainty quantification."
AB003,Mandatory Clarification,pre_conclusion_gate,"Before stating any causal conclusion, you MUST ask: (1) What alternative explanations exist? (2) What evidence would falsify this? (3) What are the key assumptions? Present these explicitly before concluding.",causal_claim_pending,step,critical,true,"Ability injector for mandatory pre-conclusion clarification. Gate that requires stating alternatives, falsifying evidence, and assumptions before any causal conclusion. Critical priority step-level constraint."
AB004,Citation Enforcement,verification_requirement,"For every causal claim, cite either: (1) experimental evidence, (2) observational evidence with quality rating, or (3) mechanistic reasoning. Uncited causal claims are prohibited.",reference_required,claim,high,true,"Ability injector for citation enforcement on causal claims. Requires experimental evidence, rated observational evidence, or mechanistic reasoning citation. Prohibits unsupported causal claims."
AB005,Speculation Shutdown,language_restriction,"Disable speculative language for causal relationships. Prohibited phrases: 'might cause', 'could lead to', 'possibly causes'. Allowed: 'is associated with', 'correlates with', 'intervention X produced Y in context Z'.",causal_domain,language,high,true,"Ability injector to disable speculative causal language. Prohibits 'might cause', 'could lead to'. Allows only precise language: 'is associated with', 'correlates with', 'intervention produced outcome in context'."
AB006,Tool-First Policy,execution_priority,"Prioritize deterministic code tools over generation for: graph traversal, statistical calculation, hypothesis ranking, evidence scoring. Do not guess - compute.",computation_needed,decision,critical,true,"Ability injector for tool-first execution policy. Prioritizes deterministic code tools over LLM generation for math, statistics, graph analysis. Principle: don't guess, compute. Critical for computational accuracy."
AB007,Assumption Surfacing,transparency_requirement,"Every reasoning step must explicitly state assumptions. Format: '[ASSUMPTION: X]'. Hidden assumptions are violations.",complex_reasoning,step,high,true,"Ability injector for assumption transparency. Requires explicit statement of all assumptions in reasoning. Format: [ASSUMPTION: X]. Hidden assumptions are violations. High priority for complex reasoning."
AB008,Counterexample Seeking,adversarial_mode,"Actively search for evidence against the primary hypothesis. Weight counterevidence equally with supporting evidence. Confirmation bias is prohibited.",hypothesis_testing,analysis,high,true,"Ability injector for adversarial counterexample seeking. Actively searches for disconfirming evidence. Weights counterevidence equally with support. Prohibits confirmation bias. Triggered during hypothesis testing."
AB009,Quantification Mandate,precision_requirement,"Replace vague quantifiers. Prohibited: 'many', 'few', 'often', 'rarely'. Required: specific counts, percentages, or ranges with confidence bounds.",numerical_context,language,medium,true,"Ability injector for quantification precision. Prohibits vague quantifiers like 'many', 'few', 'often'. Requires specific counts, percentages, or ranges with confidence bounds. Medium priority language constraint."
AB010,Mechanism Decomposition,structural_requirement,"For every causal claim X→Y, decompose into mechanistic steps: X→M₁→M₂→...→Y. Each intermediate step must be justified.",mechanism_query,analysis,high,true,"Ability injector for mechanism decomposition. Requires breaking causal claims into intermediate mechanistic steps. Each step X→M1→M2→Y must be justified. High priority for mechanistic analysis."
AB011,Temporal Precision,time_constraint,"Specify exact or bounded time intervals for cause-effect relationships. 'X causes Y' is incomplete. Required: 'X at time t causes Y at time t+Δt where Δt ∈ [lower, upper]'.",temporal_claim,format,medium,true,"Ability injector for temporal precision in causal claims. Requires time interval specification. 'X causes Y' is incomplete without temporal bounds. Format: X at t causes Y at t+Δt where Δt in [lower,upper]."
AB012,DAG Visualization Trigger,graph_requirement,"For problems with ≥3 variables, construct a directed acyclic graph before analysis. Use code tools to render and validate.",multivariate_problem,preprocessing,high,true,"Ability injector triggering DAG construction. For problems with 3+ variables, requires directed acyclic graph before analysis. Must use code tools to render and validate DAG structure."
AB013,Null Hypothesis Discipline,statistical_rigor,"Always state the null hypothesis explicitly. Do not interpret p-values as 'probability of hypothesis'. Focus on effect sizes and confidence intervals.",statistical_testing,analysis,high,true,"Ability injector for null hypothesis discipline. Requires explicit null hypothesis statement. Prohibits misinterpreting p-values as hypothesis probability. Focus on effect sizes and confidence intervals."
AB014,Selection Bias Alert,bias_hypervigilance,"Actively scan for selection bias. For any analysis, ask: 'How was this sample selected?' and 'Who is missing?'. Document selection process.",data_analysis,preprocessing,medium,true,"Ability injector for selection bias hypervigilance. Requires asking how sample was selected and who is missing. Document selection process for every analysis. Medium priority preprocessing check."
AB015,Replication Skepticism,single_study_discount,"Single studies receive maximum evidence weight of 0.6. Only replicated findings receive higher weight. Explicitly note if claim is based on single study.",evidence_evaluation,weighting,medium,true,"Ability injector for replication skepticism. Caps single study evidence weight at 0.6. Only replicated findings receive higher weight. Requires noting when claims based on single study."
AB016,Confounding Checklist,mandatory_check,"Before accepting causal conclusion, verify checklist: ☐ Confounders identified ☐ Confounders measured ☐ Adjustment performed ☐ Residual confounding assessed",observational_analysis,validation,critical,true,"Ability injector for mandatory confounding checklist. Before causal conclusion: identify confounders, measure confounders, perform adjustment, assess residual confounding. Critical for observational analysis."
AB017,Bayesian Update Enforcement,probabilistic_reasoning,"Express uncertainty as probability distributions. Update beliefs using Bayes' rule. Show prior, likelihood, and posterior explicitly.",uncertainty_quantification,method,medium,true,"Ability injector for Bayesian reasoning enforcement. Requires expressing uncertainty as probabilities. Show prior, likelihood, posterior explicitly. Use Bayes' rule for belief updates."
AB018,Intervention Distinction,do_operator_awareness,"Distinguish observational P(Y|X) from interventional P(Y|do(X)). Flag when inference requires interventional interpretation but only observational data exists.",observational_vs_experimental,classification,high,true,"Ability injector for do-operator awareness. Distinguishes observational P(Y|X) from interventional P(Y|do(X)). Flags when interventional inference attempted from observational data only."
AB019,Effect Size Pragmatism,practical_significance,"Report both statistical significance and practical significance. Small effect sizes (e.g., r<0.1) must be flagged as 'statistically significant but practically negligible'.",effect_reporting,interpretation,medium,true,"Ability injector for effect size pragmatism. Report both statistical and practical significance. Flag small effects (r<0.1) as 'statistically significant but practically negligible'."
AB020,Heterogeneity Awareness,context_sensitivity,"Causal effects may vary across subgroups. Always consider: 'For whom does X cause Y?'. Avoid overgeneralization across contexts.",population_inference,warning,medium,true,"Ability injector for heterogeneity awareness. Causal effects vary across subgroups and contexts. Ask: For whom does X cause Y? Avoid overgeneralization. Consider effect modification."
AB021,Feedback Loop Detection,dynamic_system_mode,"Scan for bidirectional causation. If X→Y and Y→X both plausible, flag as feedback loop requiring dynamic systems analysis.",temporal_complexity,detection,medium,true,"Ability injector for feedback loop detection. Scans for bidirectional causation X↔Y. If both directions plausible, flags for dynamic systems analysis. Medium priority temporal complexity handling."
AB022,Measurement Validity Check,operationalization_review,"For each variable, verify: ☐ Construct validity ☐ Measurement reliability ☐ Measurement independence. Poor measurement undermines causal inference.",measurement_context,validation,medium,true,"Ability injector for measurement validity checking. Verify construct validity, measurement reliability, and measurement independence for each variable. Poor measurement undermines causal inference."
AB023,Exclusion Criteria Enforcement,elimination_requirement,"To conclude X causes Y, systematically rule out: ☐ Reverse causation ☐ Common cause ☐ Sampling artifact ☐ Measurement error ☐ Coincidence",causal_conclusion,checklist,critical,true,"Ability injector for systematic exclusion criteria. Before concluding causation, rule out: reverse causation, common cause, sampling artifact, measurement error, coincidence. Critical checklist."
AB024,Proportionality Sanity Check,plausibility_filter,"Verify proportionality: small causes should not produce huge effects without amplification mechanism. Flag disproportionate claims for scrutiny.",magnitude_evaluation,validation,medium,true,"Ability injector for proportionality sanity check. Small causes shouldn't produce huge effects without amplification mechanism. Flag disproportionate causal claims for additional scrutiny."
AB025,Blinding Inquiry,experimental_validity,"For experimental claims, verify: ☐ Participant blinding ☐ Assessor blinding ☐ Analyst blinding. Absence of blinding downgrades evidence quality.",rct_evaluation,quality_check,medium,true,"Ability injector for blinding verification in experiments. Check participant, assessor, and analyst blinding status. Absence of blinding downgrades evidence quality rating."
AB026,Publication Bias Consideration,meta_analysis_mode,"When synthesizing evidence, adjust for publication bias. Absence of negative results increases skepticism. Require funnel plot or similar diagnostic.",evidence_synthesis,adjustment,medium,true,"Ability injector for publication bias consideration. Adjust evidence synthesis for publication bias. Absence of negative results increases skepticism. Require funnel plot diagnostics."
AB027,Dose-Response Expectation,gradient_requirement,"For causal relationships, expect dose-response gradient. Absence of gradient (threshold effects excepted) weakens causal inference.",gradient_analysis,pattern_check,low,true,"Ability injector for dose-response gradient expectation. Causal relationships should show dose-response. Absence of gradient weakens inference unless threshold mechanism established."
AB028,Latent Variable Consideration,unmeasured_awareness,"Consider unmeasured variables. For any correlation, ask: 'Could a latent variable explain this?'. Enumerate plausible latent variables.",complex_correlation,hypothesis_generation,medium,true,"Ability injector for latent variable consideration. For any correlation, ask if latent variable could explain it. Enumerate plausible unmeasured variables that might create spurious associations."
AB029,Specificity Evaluation,pattern_analysis,"Evaluate specificity: Does X cause only Y, or many outcomes? Do many causes produce Y? High specificity strengthens inference; low specificity weakens it.",causal_strength_assessment,scoring,low,true,"Ability injector for specificity evaluation. Assess whether cause produces specific or many effects, and whether outcome has specific or many causes. High specificity strengthens causal inference."
AB030,Experimental Gold Standard,evidence_hierarchy,"Rank evidence quality: RCT > quasi-experimental > longitudinal cohort > case-control > cross-sectional. Weight accordingly.",evidence_integration,ranking,high,true,"Ability injector for evidence hierarchy ranking. RCT highest, then quasi-experimental, longitudinal cohort, case-control, cross-sectional. Weight causal evidence according to study design quality."
AB031,Consistency Requirement,replication_synthesis,"Causal claims require consistency across: ☐ Multiple studies ☐ Different populations ☐ Different methods. Inconsistency demands explanation.",multi_study_synthesis,validation,medium,true,"Ability injector for consistency requirement across evidence. Causal claims need consistency across multiple studies, populations, and methods. Inconsistent findings demand explanation."
AB032,Time-Lag Specification,temporal_modeling,"Specify and justify the assumed lag between cause and effect. Inappropriate lag can hide or create spurious relationships.",lag_analysis,parameter,medium,true,"Ability injector for time-lag specification. Require specification and justification of assumed cause-effect lag. Wrong lag can hide true effects or create spurious ones."
AB033,Interaction Consideration,synergy_detection,"Consider interactions: Does X's effect on Y depend on Z? Screen for effect modification and synergistic/antagonistic relationships.",complex_causation,detection,low,true,"Ability injector for interaction effect consideration. Ask whether X's effect on Y depends on Z. Screen for synergy, antagonism, and effect modification in multivariate systems."
AB034,Survivor Bias Alert,selection_artifact_scan,"Check if analysis excludes failures/dropouts/deaths. Survivor bias inflates effects. Require intention-to-treat or attrition analysis.",longitudinal_analysis,validation,medium,true,"Ability injector alerting to survivor bias. Check if analysis excludes failures, dropouts, deaths. Survivor bias inflates apparent effects. Require intention-to-treat analysis."
AB035,Ecological Fallacy Warning,level_matching,"Do not infer individual-level causation from group-level data. Flag cross-level inferences as potentially fallacious.",aggregation_context,warning,medium,true,"Ability injector warning about ecological fallacy. Group-level associations may not hold for individuals. Flag cross-level inferences from aggregate to individual as potentially fallacious."
AB036,Regression to Mean Awareness,statistical_artifact_check,"For extreme values followed by change, consider regression to mean before concluding causation.",extreme_value_analysis,alternative_explanation,medium,true,"Ability injector for regression to mean awareness. Extreme values naturally followed by less extreme. Consider statistical regression before attributing change to intervention."
AB037,Mediation Analysis Trigger,pathway_decomposition,"For X→Y relationship, identify mediators M where X→M→Y. Decompose total effect into direct and indirect components.",indirect_effect_query,analysis_type,low,true,"Ability injector triggering mediation analysis. For X→Y relationships, identify mediators M where X→M→Y. Decompose total effect into direct and indirect pathway components."
AB038,Collider Control Prohibition,dag_based_adjustment,"DO NOT control for colliders (common effects). Conditioning on colliders creates spurious associations. Use DAG to identify colliders.",adjustment_decision,rule,critical,true,"Ability injector prohibiting collider control. NEVER condition on colliders (common effects). Conditioning creates spurious associations between causes. Use DAG to identify colliders before adjustment."
AB039,Randomization Verification,experimental_core,"For RCTs, verify: ☐ Random allocation ☐ Allocation concealment ☐ Balance on baseline characteristics. Compromised randomization downgrades to quasi-experimental.",rct_quality,validation,high,true,"Ability injector for randomization verification in RCTs. Verify random allocation, allocation concealment, baseline balance. Compromised randomization downgrades study to quasi-experimental."
AB040,Coherence Integration,domain_knowledge_check,"Verify causal claim coherence with: ☐ Physical laws ☐ Biological principles ☐ Established theories. Incoherence requires extraordinary evidence.",plausibility_assessment,validation,medium,true,"Ability injector for domain coherence integration. Verify causal claims against physical laws, biological principles, established theories. Incoherent claims require extraordinary evidence."
